index original,text H-ID,witness H-ID,document H-ID,ToCheck,Shelfmark,TRI,textAuthor-freetext,workTitle-freetext,textTitle-freetext,Form,siglum,witness_label,status,Settlement,repository,collection,idno,volume,range_pages,range_views,Digitisation,note,Scripta,Scripta_freetext,Scripta_source,Century,Date,date-freetext,Date-source,jonas_id,arlima_id,Remarques,arlima_ident,arlima_page,arlima_subentry,arlima_ms_reference
847,,,45788,FALSE,"Paris, Bibliothèque nationale de France, français 350",Guiron le courtois,,,Guiron le courtois,prose,,,mutilated,Paris,Bibliothèque nationale de France,français,350,,142r-366,295-742,https://gallica.bnf.fr/ark:/12148/btv1b6000616m,Incomplet du début et de la fin.,,Arras et Italie,Mandragore,,1281-1320,fin du XIIIe-début XIVe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/45517,https://arlima.net/no/5360,,,,288,Le cycle de Guiron le Courtois
848,,,45908,FALSE,"Paris, Bibliothèque nationale de France, français 355",Guiron le courtois,,,Guiron le courtois,prose,,,,Paris,Bibliothèque nationale de France,français,355,,65r-395r,135-795,https://gallica.bnf.fr/ark:/12148/btv1b85144251,,,France,Jonas,,1301-1400,XIVe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/71986,https://arlima.net/no/3987,,,,288,Le cycle de Guiron le Courtois
849,,,45797,FALSE,"Paris, Bibliothèque nationale de France, français 356",Guiron le courtois,,,Guiron le courtois,prose,356-357,356-357,,Paris,Bibliothèque nationale de France,français,356,"356-357, vol. 1",1r-259v,7-524,https://gallica.bnf.fr/ark:/12148/btv1b8514422s,,,Paris,,,1441-1460,milieu du XVe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/45519,https://arlima.net/no/3988,,,,288,Le cycle de Guiron le Courtois
850,,,45928,FALSE,"Paris, Bibliothèque nationale de France, français 357",Guiron le courtois,,,Guiron le courtois,prose,,,,Paris,Bibliothèque nationale de France,français,357,"356-357, vol. 1",1r-376v,7-758,https://gallica.bnf.fr/ark:/12148/btv1b85275905,,,Paris,,,1416-1455,vers 1420-1450,Jonas,http://jonas.irht.cnrs.fr/manuscrit/45519,https://arlima.net/no/3988,,,,288,Le cycle de Guiron le Courtois
851,,,45929,FALSE,"Paris, Bibliothèque nationale de France, français 358",Guiron le courtois,,,Guiron le courtois,prose,,,,Paris,Bibliothèque nationale de France,français,358,"358-363, vol. 1",31-331v,79-636,https://gallica.bnf.fr/ark:/12148/btv1b8527591k,,,Flandres,Mandragore,,1466-1475,Vers 1470,Jonas,http://jonas.irht.cnrs.fr/manuscrit/74422,https://arlima.net/no/3989,,,,288,Le cycle de Guiron le Courtois
852,,,45787,FALSE,"Paris, Bibliothèque nationale de France, français 359",Guiron le courtois,,,Guiron le courtois,prose,,,,Paris,Bibliothèque nationale de France,français,359,"358-363, vol. 2",1r-33v,17-82,https://gallica.bnf.fr/ark:/12148/btv1b85275920,,,Flandres,Mandragore,,1466-1475,Vers 1470,Jonas,http://jonas.irht.cnrs.fr/manuscrit/74422,https://arlima.net/no/3989,,,,288,Le cycle de Guiron le Courtois
853,,,45786,FALSE,"Paris, Bibliothèque nationale de France, français 360",Guiron le courtois,,,Guiron le courtois,prose,,,,Paris,Bibliothèque nationale de France,français,360,"358-363, vol. 3",1r-329v,17-673,https://gallica.bnf.fr/ark:/12148/btv1b8527593d,,,Flandres,Mandragore,,1466-1475,Vers 1470,Jonas,http://jonas.irht.cnrs.fr/manuscrit/74422,https://arlima.net/no/3989,,,,288,Le cycle de Guiron le Courtois
854,,,45957,FALSE,"Paris, Bibliothèque nationale de France, français 361",Guiron le courtois,,,Guiron le courtois,prose,,,,Paris,Bibliothèque nationale de France,français,361,"358-363, vol. 4",1r-314v,15-642,https://gallica.bnf.fr/ark:/12148/btv1b8527594t,,,Flandres,Mandragore,,1466-1475,Vers 1470,Jonas,http://jonas.irht.cnrs.fr/manuscrit/74422,https://arlima.net/no/3989,,,,288,Le cycle de Guiron le Courtois
855,,,45959,FALSE,"Paris, Bibliothèque nationale de France, français 362",Guiron le courtois,,,Guiron le courtois,prose,,,,Paris,Bibliothèque nationale de France,français,362,"358-363, vol. 5",1r-360v,21-730,https://gallica.bnf.fr/ark:/12148/btv1b85275957,,,Flandres,Mandragore,,1466-1475,Vers 1470,Jonas,http://jonas.irht.cnrs.fr/manuscrit/74422,https://arlima.net/no/3989,,,,288,Le cycle de Guiron le Courtois
856,,,,FALSE,"Parma, Archivio di Stato, [sans cote]",Guiron le courtois,,,Guiron le courtois,,Par,,fragment,Parma,Archivio di Stato,,1987,,,,NON NUMÉRISÉ,fragment,,France,,,1401-1500,XVe siècle,Arlima,http://jonas.irht.cnrs.fr/manuscrit/49448,,,,,288,Le cycle de Guiron le Courtois
857,,,46156,FALSE,"Pistoia, Archivio Capitolare, C 57, C 128",Guiron le courtois,,,Guiron le courtois,,Pi,,fragment,Pistoia,Archivio Capitolare,,"C 57, C 128",,,,NON NUMÉRISÉ,fragment,,Nord de la France,,,1281-1300,fin du XIIIe siècle,,http://jonas.irht.cnrs.fr/manuscrit/71987,,,,,,
858,,,45330,FALSE,"Privas, Archives départementales, n. 1 (F.7)",Guiron le courtois,,,Guiron le courtois,prose,Pr,,,Privas,Archives départementales,,n. 1 (F.7),,,,NON NUMÉRISÉ,,,,,,1281-1320,fin du XIIIe-début XIVe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/71989,,,,,288,Le cycle de Guiron le Courtois
859,,,,FALSE,"Torino, Biblioteca nazionale universitaria, L. I. 7-9 (1622 )",Guiron le courtois,,,Guiron le courtois,,,,,Torino,Biblioteca nazionale universitaria,,L. I. 7-9 (1622 ),,,,NON NUMÉRISÉ,,,,,,1401-1500,XVe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/59022,,,,,,
860,,,45132,FALSE,"Venezia, Biblioteca nazionale Marciana, fr. Z. 15 (= 228) ",Guiron le courtois,,,Guiron le courtois,,V2,V2,,Venezia,Biblioteca nazionale Marciana,,fr. Z. 15 (= 228) ,,1r-158v,12-327,https://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3A193.206.197.121%3A18%3AVE0049%3ACSTOR.243.15233,,,Italie (Naples),,,1341-1360,Milieu du XIVe siècle,,http://jonas.irht.cnrs.fr/manuscrit/68333,,,,,,
861,,,45139,FALSE,"Venezia, Biblioteca nazionale Marciana, fr. Z. 9 (= 227)",Guiron le courtois,,,Guiron le courtois,,V1,V1,,Venezia,Biblioteca nazionale Marciana,,fr. Z. 9 (= 227),,1r-72v,20-163,https://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3A193.206.197.121%3A18%3AVE0049%3ACSTOR.243.15227&mode=all&teca=marciana,,,Ouest de l’Italie,,,1281-1300,fin du XIIIe siècle,,http://jonas.irht.cnrs.fr/manuscrit/68329,,,,,,
862,,,45671,FALSE,"Paris, Bibliothèque nationale de France, Arsenal 3325",Guiron le courtois,,,Guiron le courtois / Suite Guiron,mixed,A1,A1,,Paris,Bibliothèque nationale de France,Arsenal,3325,,48ra-237r,117-497,https://gallica.bnf.fr/ark:/12148/btv1b7100011x,,,,,,1251-1300,Deuxième moitié du XIIIe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/42962,https://arlima.net/no/8599,,,,288,Guiron le courtois
863,,,45194,FALSE,"Cologny (Genève), Fondation Martin Bodmer, 82",Haveloc,,,Haveloc,verse,,,,Cologny (Genève),Bibliotheca Bodmeriana,,82,,1ra-7vb,1r-7v,https://www.e-codices.ch/en/list/one/fmb/cb-0082,,,,,,1281-1320,fin XIIIe-début XIVe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/17511,https://arlima.net/no/2358,,,,1337,Haveloc (le lai)
864,,,,FALSE,"London, College of Arms, Arundel MS 14 (1)",Haveloc,,,Haveloc,,,,,London,College of Arms,Arundel,XIV,,,,,,agn.,,Jonas,,1296-1330,1er quart du 14e s. (?),Jonas,https://jonas.irht.cnrs.fr/manuscrit/74615,,,,,,
1156,,,45595,FALSE,"London, British Library, Harley 4903",Helcanus,,,Helcanus,,,,,London,British Library,Harley,4903,,,,https://bl.digirati.io/iiif/ark:/81055/vdc_100057738488.0x000001,,,,,,1336-1355,Vers 1340-1350,Jonas,https://jonas.irht.cnrs.fr/manuscrit/45848,,"Unit with: Londres. British Library, Harley MS 4903 | Paris. Bibliothèque nationale de France, Département des manuscrits, Français 17000 ",,,,
1725,,,45789,FALSE,"Paris, Bibliothèque nationale de France, français 17000",Helcanus,,,Helcanus,prose,,,,Paris,Bibliothèque nationale de France,français,1700,,--260v,,https://gallica.bnf.fr/ark:/12148/btv1b105363274,,,,,,1336-1355,vers 1340-1350,Jonas,http://jonas.irht.cnrs.fr/manuscrit/45848,https://arlima.net/no/2919,"Unit with: Londres. British Library, Harley MS 4903 | Paris. Bibliothèque nationale de France, Département des manuscrits, Français 17000 ",,,404,Le roman de Laurin
865,,,45950,FALSE,"Paris, Bibliothèque nationale de France, français 22549",Helcanus,,Helcanus,Helcanus,prose,R,R,,Paris,Bibliothèque nationale de France,français,22549,"22548-22550, vol. 2",74-130v,154-266,https://gallica.bnf.fr/ark:/12148/btv1b52513516p,,,"frc., traces de pic.",DEAF,,1281-1320,Fin du XIIIe ou début du XIV,Arlima,http://jonas.irht.cnrs.fr/manuscrit/73676,https://arlima.net/no/2929,,,,397,Helcanus
867,,,45639,FALSE,"Eugene, University of Oregon Libraries Special Collections and University Archives, Vault MS 065",Hernaut de Beaulande,,Hernaut de Beaulande,Version en vers,verse,,,,Eugene,University of Oregon Libraries Special Collections and University Archives,Vault MS,65,,1r-35r,,https://oregondigital.org/sets/mss-rb/oregondigital:fx71bj562#page/1/mode/1up,,,Nord de la France,Arlima,,1486-1495,Vers 1490,Arlima,https://jonas.irht.cnrs.fr/manuscrit/76354,https://arlima.net/no/2633,,,,1361,Hernaut de Beaulande
868,664,,45255,FALSE,"Darmstadt, Universitäts- und Landesbibliothek, 3133",Hervis de Metz,,,Hervis de Metz,verse,Da,Da,,Darmstadt,Universitäts- und Landesbibliothek,,3133,,1r-2v,,NON NUMÉRISÉ,,,,,,1281-1320,fin du XIIIe-début du XIVe siècle,,http://jonas.irht.cnrs.fr/manuscrit/17651,,,,,1363,Hervis de Metz
869,664,,47607,FALSE,"Paris, Archives nationales de France, AB XIX 1734, Dossier Moselle",Hervis de Metz,,,Hervis de Metz,verse,Em,Em,fragment,Paris,Archives nationales de France,,"AB XIX 1734, Dossier Moselle",,??,,NON NUMÉRISÉ,"2f., Fragment retrouvé dans une reliure et édité par Pamfilova (1934).",,,,,1201-1300,XIIIe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/80910,,,,,1363,Hervis de Metz
870,664,,45679,FALSE,"Paris, Bibliothèque nationale de France, Arsenal 3143",Hervis de Metz,,,Hervis de Metz,verse,N,N,,Paris,Bibliothèque nationale de France,Arsenal,3143,,1ra-44ra,,NON NUMÉRISÉ,,,Saint-Quentin (Aisne),Jonas,,1301-1320,Début du XIVe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/42944,https://arlima.net/no/6801,Localisation par le colophon,,,1363,Hervis de Metz
871,664,,45944,FALSE,"Paris, Bibliothèque nationale de France, français 19160",Hervis de Metz,,,Hervis de Metz,verse,E,E,,Paris,Bibliothèque nationale de France,français,19160,,1ra-88vb,3-91,https://gallica.bnf.fr/ark:/12148/btv1b9062189p,,,,,,1201-1300,XIIIe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/45866,https://arlima.net/no/4273,,,,1363,Hervis de Metz
872,664,,47262,FALSE,"Torino, Biblioteca nazionale universitaria, L. II. 14 (1639)",Hervis de Metz,,,Hervis de Metz,verse,T,T,,Torino,Biblioteca nazionale universitaria,,L. II. 14 (1639),,105ra-177rb,,https://arca.irht.cnrs.fr/ark:/63955/rlu3usz7sf7x,,,Vermandois (Saint-Quentin?),Jonas,,1311,achevé en juin 1311,Jonas,http://jonas.irht.cnrs.fr/manuscrit/59028,https://arlima.net/no/5394,Localisation par le contenu et l'iconographie,,,1363,Hervis de Metz
873,,,45701,FALSE,"Paris, Bibliothèque nationale de France, Arsenal 3355",Histoire de Jules Cesar,Jean de Thuin,Histoire de Jules Cesar,", Histoire de Jules Cesar",prose,,,,Paris,Bibliothèque nationale de France,Arsenal,3355,,205r – 261v,415-530,https://gallica.bnf.fr/ark:/12148/btv1b10468710f,,,,,,1281-1400,"14e s. (ou vers 1285, Stones, 2013)",Jonas,http://jonas.irht.cnrs.fr/manuscrit/42983,https://arlima.net/no/8443,,,,3471,Jean de Thuin
1690,739,,45275,FALSE,"Cambridge, University Library, Additional 4407",Horn,Thomas,,roman de Horn,verse,F1,,fragment,Cambridge,University Library,Additional,4407,,,,NON NUMÉRISÉ,,agn.,agn. fin 13es.,DÉAF,,1281-1300,Fin du XIIIe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/13305,https://arlima.net/no/8356,,,,235,Thomas
1691,739,,45277,FALSE,"Cambridge, University Library, Additional 4470",Horn,Thomas,,roman de Horn,verse,F2,,fragment,Cambridge,University Library,Additional,4470,,,,NON NUMÉRISÉ,fragments correspondant aux v. 4934-5072 et 5139-5240 de l'éd. Pope,agn.,agn. 1em. 13es.],DÉAF,,1301-1320,Début du XIVe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/78221,https://arlima.net/no/8357,,,,235,Thomas
1692,739,,46161,FALSE,"Cambridge, University Library, Ff.6.17",Horn,Thomas,,roman de Horn,verse,C,C,,Cambridge,University Library,,Ff.6.17,,1ra-94rb,,NON NUMÉRISÉ,,agn.,agn. 1em. 13es. ?,DÉAF,,1201-1300,XIIIe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/75440,,,,,235,Thomas
1693,739,,45582,FALSE,"London, British Library, Harley 527",Horn,Thomas,,roman de Horn,verse,H,H,,London,British Library,Harley,527,,59ra-73vb,59r-73v,https://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_527,,agn.,agn. mil. 13es.,DÉAF,,1201-1250,Première moitié du XIIIe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/30623,https://arlima.net/no/3008,,,,235,Thomas
1694,739,,45350,FALSE,"Oxford, Bodleian Library, Douce 132+137",Horn,Thomas,,roman de Horn,verse,O,O,,Oxford,Bodleian Library,Douce,132,,1ra-22vb,,NON NUMÉRISÉ,,agn.,agn. mil. 13es.,DÉAF,,1241-1260,milieu 13e s.,Jonas,http://jonas.irht.cnrs.fr/manuscrit/40250,https://arlima.net/no/498,,,,235,Thomas
874,,,45645,FALSE,"Paris, Bibliothèque nationale de France, Arsenal 3145",Hugues Capet,,,Hugues Capet,verse,,,,Paris,Bibliothèque nationale de France,Arsenal,3145,,1-103v,,NON NUMÉRISÉ,,,,,,1401-1500,XVe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/42946,https://arlima.net/no/5164,,,,364,Hugues Capet
875,,,45094,TRUE,"Chantilly, Bibliothèque du Château, 472",Hunbaut,,Hunbaut,Version originale,verse,,,,Chantilly,Bibliothèque du Château,,472 (626),,122r - 133v,126-138,https://bvmm.irht.cnrs.fr/mirador/index.php?manifest=https://bvmm.irht.cnrs.fr/iiif/338/manifest,Scribe: Colin li fruitiers,,Picardie ou Wallonie,Arlima,,1251-1300,2e moitié du XIIIe s,Jonas,http://jonas.irht.cnrs.fr/manuscrit/14805,https://arlima.net/no/510,,,,1211,Hunbaut
876,,,,FALSE,", , localisation actuelle inconnue, 161 f.: ms. du XVe ayant appartenu à un libraire de Carcassonne; voir la description par Anglade (1918).",Huon d'Auvergne,,,Huon d'Auvergne,verse,,,,,,,"localisation actuelle inconnue, 161 f.: ms. du XVe ayant appartenu à un libraire de Carcassonne; voir la description par Anglade (1918).",,,,,,,,,,1401-1500,15e,,,,,,,342,Huon d'Auvergne
877,,,45540,FALSE,"Berlin, Staatliche Museen, Kupferstichkabinett 78 D 8",Huon d'Auvergne,,,Huon d'Auvergne,verse,B,B,,Berlin,Staatliche Museen,Kupferstichkabinett,78 D 8,,1r-84v,b001r-b084v,https://www.huondauvergne.org/facsimiles/b-facsimile.html,,,,,,1341,1341,Jonas,http://jonas.irht.cnrs.fr/manuscrit/74433,https://arlima.net/no/7679,,,,342,Huon d'Auvergne
878,,,46121,FALSE,"Bologna, Biblioteca Comunale, B. 3489",Huon d'Auvergne,,,Huon d'Auvergne,verse,,,fragment,Bologna,Biblioteca Comunale,,B. 3489,,1r-14v,br001r-br014v,https://www.huondauvergne.org/facsimiles/br-facsimile.html,"14f., fragment.",,Le filigrane indicano l’area nord-italiana.,RIALFRI,,1376-1400," XIV sec., probabilmente exeunte.",RIALFRI,http://jonas.irht.cnrs.fr/manuscrit/78647,,https://www.rialfri.eu/manoscritti/bologna-biblioteca-dellarchiginnasio-b-3489-frammento-barbieri,,,342,Huon d'Auvergne
879,,,45503,FALSE,"Firenze, Biblioteca Marucelliana, Carte rajna XII M 101",Huon d'Auvergne,,,Huon d'Auvergne,verse,,,,Firenze,Biblioteca Marucelliana,Carte rajna,XII M 101,,,,NON NUMÉRISÉ,Transcription par Pio Rajna du ms. de Padoue.,,,,,1801-1900,XIXe siècle ?,,,,,,,342,Huon d'Auvergne
880,,,45492,FALSE,"Firenze, Biblioteca Marucelliana, Carte rajna XIX.15",Huon d'Auvergne,,,Huon d'Auvergne,verse,,,,Firenze,Biblioteca Marucelliana,Carte rajna,XIX.15,,1r-192v,r001r-r192v,https://www.huondauvergne.org/facsimiles/r-facsimile.html,Transcription par Pio Rajna du ms. de Turin.,,,,,1860-1879,,,,,,,,342,Huon d'Auvergne
881,,,46139,FALSE,"Padova, Seminario Vescovile, Cod. 32",Huon d'Auvergne,,,Huon d'Auvergne,verse,P,P,mutilated,Padova,Seminario Vescovile,,Cod. 32,,1r-117r,p001r-p117r,https://www.huondauvergne.org/facsimiles/p-facsimile.html,La fin manque.,,,,,1441-1460,milieu du XVe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/74925,,,,,342,Huon d'Auvergne
882,,,47261,FALSE,"Torino, Biblioteca nazionale universitaria, N. III. 19",Huon d'Auvergne,,,Huon d'Auvergne,verse,T,T,fragment,Torino,Biblioteca nazionale universitaria,,N. III. 19,,1r-183v,t001r-t183v,https://www.huondauvergne.org/facsimiles/t-facsimile.html,Fragment,,Franco-italien,Jonas,,1441,1441,Jonas,http://jonas.irht.cnrs.fr/manuscrit/74860,,Localisation par la langue,,,342,Huon d'Auvergne
883,,,45768,FALSE,"Paris, Bibliothèque nationale de France, français 22555",Huon de Bordeaux,,Huon de Bordeaux,Continuation P de Huon de Bordeaux,verse,P,P,,Paris,Bibliothèque nationale de France,français,22555,,183bis v-247vb,187-252,https://gallica.bnf.fr/ark:/12148/btv1b9059284v,,,,,,1401-1500,XVe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/45900,https://arlima.net/no/3449,,,,3448,Continuation P de Huon de Bordeaux
883,666,,45768,FALSE,"Paris, Bibliothèque nationale de France, français 22555",Huon de Bordeaux,,Huon de Bordeaux,Version en décasyllabes,verse,P,P,,Paris,Bibliothèque nationale de France,français,22555,,183bis v-247vb,,https://gallica.bnf.fr/ark:/12148/btv1b9059284v,,lorr.,lorr. ca. 1475,DÉAF,,1401-1500,XVe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/45900,https://arlima.net/no/3449,,,,3448,Continuation P de Huon de Bordeaux
884,666,,45264,FALSE,"Boston, Massachusetts Historical Society, Special Colls. Appleton O.S. Folder 1",Huon de Bordeaux,,Huon de Bordeaux,Version en décasyllabes,verse,b,,fragment,Boston,Massachusetts Historical Society,Special Colls.,Appleton O.S. Folder 1,,,,NON NUMÉRISÉ,,pic.,pic. 3eq. 13es.],DÉAF,,1351-1400,Deuxième moitié du XIVe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/81113,,,,,1384,Huon de Bordeaux
886,665,,45759,TRUE,"Paris, Bibliothèque nationale de France, français 1451",Huon de Bordeaux,,Huon de Bordeaux,Version en alexandrins,verse,,,,Paris,Bibliothèque nationale de France,français,1451,,2r- ?,,https://gallica.bnf.fr/ark:/12148/btv1b90596595,,,,,,1401-1500,XVe,Jonas,http://jonas.irht.cnrs.fr/manuscrit/73971,https://arlima.net/no/5390,,,,1384,Huon de Bordeaux
887,666,,47262,FALSE,"Torino, Biblioteca nazionale universitaria, L. II. 14 (1639)",Huon de Bordeaux,,Huon de Bordeaux,Version en décasyllabes,verse,T,T,,Torino,Biblioteca nazionale universitaria,,L. II. 14 (1639),,297r-354v,,https://arca.irht.cnrs.fr/ark:/63955/rlu3usz7sf7x,,pic.,Vermandois (Saint-Quentin?); pic. (Origny) 1311 (DÉAF),Jonas,,1311,achevé en juin 1311,Jonas,http://jonas.irht.cnrs.fr/manuscrit/59028,https://arlima.net/no/5394,Localisation par le contenu et l'iconographie,,,1384,Huon de Bordeaux
889,666,,45421,FALSE,"Tours, Bibliothèque municipale, 936",Huon de Bordeaux,,Huon de Bordeaux,Version en décasyllabes,verse,M,M,,Tours,Bibliothèque municipale,,936,,1r-173v,,NON NUMÉRISÉ,,pic.,pic. mil. 13es.,DÉAF,,1201-1220,début 13e s.,Jonas,http://jonas.irht.cnrs.fr/manuscrit/60310,https://arlima.net/no/3993,,,,1384,Huon de Bordeaux
,48705,,,,"ALESSANDRIA,  Biblioteca civica,  195",Huon de Bordeaux,,Huon de Bordeaux,Version en octosyllabes ?,,,,fragment,Alessandria,Biblioteca civica,,195,,,,,"Alessandro Vitale-Brovarone, Una nuova redazione di Huon de Bordeaux, Pluteus, 1983",,,,,1281-1320,fin 13e déb. 14e,Jonas,http://jonas.irht.cnrs.fr/manuscrit/81667,,,,,,
890,48755,,45232,FALSE,"Nottingham, University Library, Department of manuscripts, WLC/LM/6",Ille et Galeron,Gautier d'Arras,,Ille et Galeron,verse,W,,,Nottingham,University Library,Department of manuscripts,WLC/LM/6,,,,,,pic.,pic. 4eq. 13es.,DÉAF,,1281-1290,"2e moitié 13e (d'après Jung 1996), vers 1286 (Airo, 2005)",Jonas,http://jonas.irht.cnrs.fr/manuscrit/38993,https://arlima.net/no/2361,,,,,
891,48755,,45925,FALSE,"Paris, Bibliothèque nationale de France, français 375",Ille et Galeron,Gautier d'Arras,,Ille et Galeron,verse,P,,,Paris,Bibliothèque nationale de France,français,375,,296ra-309vd,604-603,https://gallica.bnf.fr/ark:/12148/btv1b10510319x,,pic.,région d’Arras; pic. ca. 1300,"Jonas, DÉAF",,1288-1317,"Achevé le 2 février 1288, mais Jonas dit 1289-1317",,http://jonas.irht.cnrs.fr/manuscrit/45527,https://arlima.net/no/527,,,,492,Gautier d'Arras
1499,,,45367,FALSE,"Oxford, Bodleian Library, Rawlinson D.913/?",Ipomedon,Hue de Rotelande,,Ipomedon,,,,fragment,Oxford,Bodleian Library,Rawlinson,D.913,,,,,,,,,,1181-1190,Après 1180,Jonas,http://jonas.irht.cnrs.fr/manuscrit/40703,,,,,,
1498,,,45578,FALSE,"London, British Library, Egerton 2515",Ipomedon,,,Ipomedon,,,,,London,British Library,Egerton,2515,,,,,,,,,,1301-1320,début du 14e s.,Jonas,https://jonas.irht.cnrs.fr/manuscrit/30582,,,,,,
992,,,46095,FALSE,"Paris, Bibliothèque nationale de France, NAF 6639",istoire de la Chastelaine du vergier et de Tristan le chevalier,,,istoire de la Chastelaine du vergier et de Tristan le chevalier,prose,,,,Paris,Bibliothèque nationale de France,nouvelles acquisitions françaises,6639,,f. 108r-131v,112-136,https://gallica.bnf.fr/ark:/12148/btv1b100900922,,Val d'Aoste(Italie),,Arlima/Jonas,,1401-1500,XVe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/72310,https://arlima.net/no/4421,,,,4422,La Chastelaine du vergier et Tristan le chevalier
892,671,,45647,FALSE,"Bern, Burgerbibliothek, 573",Jehan de Lanson,,,Jehan de Lanson,verse,B,B,mutilated,Bern,Burgerbibliothek,,573,,?,,NON NUMÉRISÉ,Incomplet du début et de la fin.,,,,,1301-1320,Début du XIVe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/8314,https://arlima.net/no/5214,,,,1468,Jehan de Lanson
893,671,,45645,FALSE,"Paris, Bibliothèque nationale de France, Arsenal 3145",Jehan de Lanson,,,Jehan de Lanson,verse,C,C,,Paris,Bibliothèque nationale de France,Arsenal,3145,,108r-203v,,NON NUMÉRISÉ,,,,,,1401-1500,XVe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/42946,https://arlima.net/no/5164,,,,1468,Jehan de Lanson
894,671,,45911,FALSE,"Paris, Bibliothèque nationale de France, français 2495",Jehan de Lanson,,,Jehan de Lanson,verse,A,A,mutilated,Paris,Bibliothèque nationale de France,français,2495,,1r-65v,9-138,https://gallica.bnf.fr/ark:/12148/btv1b52500664w,Incomplet du début.,,,,,1281-1300,Fin du XIIIe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/45683,https://arlima.net/no/5169,,,,1468,Jehan de Lanson
895,,,45719,FALSE,"Paris, Bibliothèque nationale de France, français 1588",Jehan et Blonde,Philippe de Remi père,,Jehan et Blonde,verse,,,,Paris,Bibliothèque nationale de France,français,1588,,57-97,73-117,https://gallica.bnf.fr/ark:/12148/btv1b9007199z,,,Picardie,Jonas,,1281-1320,"fin du XIIIe ou début du XIVe s. (Uhl, 2012)",Jonas,http://jonas.irht.cnrs.fr/manuscrit/45628,,,,,386,Philippe de Remi père
1695,,,45092,FALSE,"Chantilly, Bibliothèque du Château, 644 (1081)",Joseph d'Arimathie en prose,,,roman de Joseph d'Arimathie en prose,prose,,,mutilated,Chantilly,Bibliothèque du Château,,644 (1081),,59v - 81v,65-87,https://bvmm.irht.cnrs.fr/mirador/index.php?manifest=https://bvmm.irht.cnrs.fr/iiif/384/manifest,Anoure,,Iltalie(Nord),Jonas,,1281-1320,fin XIIIe siècle-début XIVe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/14887,,,,,1538,Joseph d'Arimatie en prose
1696,,,46035,FALSE,"Città del Vaticano, BAV, Reginensi latini 1687",Joseph d'Arimathie en prose,,,roman de Joseph d'Arimathie en prose,,,,,Città del Vaticano,Biblioteca Apostolica Vaticana,Reginensi latini,1687,,,,,,,,,,1301-1320,Début du XIVe siècle,Jonas,http://jonas.irht.cnrs.fr/manuscrit/74785,,,,,,
1697,,,45191,TRUE,"Cologny (Genève), Fondation Martin Bodmer, 147",Joseph d'Arimathie en prose,,,roman de Joseph d'Arimathie en prose,prose,,,,Cologny (Genève),Fondation Martin Bodmer,,147,,3v - 20r,3v - 20r,https://www.e-codices.unifr.ch/fr/list/one/cb/0147,Interpolations,,,,,1276-1305,4eq. 13es. (DEAF);  vers 1300 (Jonas),DEAF,http://jonas.irht.cnrs.fr/manuscrit/17543,https://arlima.net/no/2493,,,,1538,Joseph d'Arimatie en prose
1698,,,45514,FALSE,"Firenze, Biblioteca Marucelliana, B.VI.24",Joseph d'Arimathie en prose,,,roman de Joseph d'Arimathie en prose,,,,,Firenze,Biblioteca Marucelliana,,B.VI.24,,,,,,,,,,1301-1400,14e s.,Jonas,https://jonas.irht.cnrs.fr/manuscrit/74715,,,,,,
1699,,,45156,FALSE,"Firenze, Biblioteca Riccardiana e Moreniana, 2759",Joseph d'Arimathie en prose,,,roman de Joseph d'Arimathie en prose,,,,,Firenze,Biblioteca Riccardiana e Moreniana,,2759,,,,,,,,,,1301-1360,Début ou milieu 14e,Jonas,https://jonas.irht.cnrs.fr/manuscrit/74717,,,,,,
